label,id,confusable_char,confusable_unicode
7,\u0037,,
·,\u00b7,"ᐧ,・,･","\u1427,\u30fb,\uff65"
’,\u2019," ̒,̓ ̕, ̔,',＇,ˈ,՚,ʼ","\u0312,\u0313\u0315,\u0314,\u0027,\uff07,\u02c8,\u055a,\u02bc"
’a,\u2019\u0061,"＇a, ʼa, ՚a, ˈa,'a, ̕a, ̔a, ̒a","\uff07\u0061,\u02bc\u0061,\u055a\u0061,\u02c8\u0061,\u0027\u0061,\u0315\u0061,\u0314\u0061,\u0312\u0061"
’a’,\u2019\u0061\u2019," ̒a ̒, ̔a ̔,ʼaʼ,ˈaˈ,՚a՚,＇a＇,'a'","\u0312\u0061\u0312,\u0314\u0061\u0314,\u02bc\u0061\u02bc,\u02c8\u0061\u02c8,\u055a\u0061\u055a,\uff07\u0061\uff07,\u0027\u0061\u0027"
’ai,\u2019\u0061\u0069," ̕ai, ̒ai, ̔ai,ʼai,ˈai,՚ai,＇ai,'ai","\u0315\u0061\u0069,\u0312\u0061\u0069,\u0314\u0061\u0069,\u02bc\u0061\u0069,\u02c8\u0061\u0069,\u055a\u0061\u0069,\uff07\u0061\u0069,\u0027\u0061\u0069"
’ai’,\u2019\u0061\u0069\u2019," ̒ai ̒, ̔ai ̔,ʼaiʼ,ˈaiˈ,՚ai՚,＇ai＇,'ai'","\u0312\u0061\u0069\u0312,\u0314\u0061\u0069\u0314,\u02bc\u0061\u0069\u02bc,\u02c8\u0061\u0069\u02c8,\u055a\u0061\u0069\u055a,\uff07\u0061\u0069\uff07,\u0027\u0061\u0069\u0027"
’e,\u2019\u0065,"＇e, ̔e, ̒e,ʼe,̓ ̕e,՚e,ˈe,'e","\uff07\u0065,\u0314\u0065,\u0312\u0065,\u02bc\u0065,\u0313\u0315\u0065,\u055a\u0065,\u02c8\u0065,\u0027\u0065"
’e’,\u2019\u0065\u2019," ̒e ̒, ̔e ̔,ʼeʼ,ˈeˈ,՚e՚,＇e＇,'e'","\u0312\u0065\u0312,\u0314\u0065\u0314,\u02bc\u0065\u02bc,\u02c8\u0065\u02c8,\u055a\u0065\u055a,\uff07\u0065\uff07,\u0027\u0065\u0027"
’i,\u2019\u0069,"ˈi,'i, ̕i, ̔i, ̒i,＇i,ʼi,՚i","\u02c8\u0069,\u0027\u0069,\u0315\u0069,\u0314\u0069,\u0312\u0069,\uff07\u0069,\u02bc\u0069,\u055a\u0069"
